A2058	SKIN
AU565	BREAST
BT20	BREAST
BT474	BREAST
BT549	BREAST
C32	SKIN
CAL12T	LUNG
CAL851	BREAST
CAMA1	BREAST
COLO201	LARGE-INTESTINE
COLO320	LARGE-INTESTINE
COLO679	SKIN
DV90	LUNG
EBC1	LUNG
EFM19	BREAST
HCC1187	BREAST
HCC1395	BREAST
HCC1569	BREAST
HCC1806	BREAST
HCC2935	LUNG
HCC4006	LUNG
HCC56	LARGE-INTESTINE
HCC70	BREAST
HCC78	LUNG
HCC827	LUNG
HMC18	BREAST
HMCB	SKIN
HPAFII	PANCREAS
HT144	SKIN
HUPT3	PANCREAS
K029AX	SKIN
KP2	PANCREAS
KP3	PANCREAS
KP4	PANCREAS
L33	PANCREAS
LCLC103H	LUNG
LOUNH91	LUNG
LS123	LARGE-INTESTINE
LS411N	LARGE-INTESTINE
LU99	LUNG
LUDLU1	LUNG
MDAMB415	BREAST
MDAMB435S	SKIN
MDAMB436	BREAST
MDAMB468	BREAST
MELHO	SKIN
NCIH1048	LUNG
NCIH1092	LUNG
NCIH1184	LUNG
NCIH1299	LUNG
NCIH1341	LUNG
NCIH1355	LUNG
NCIH1563	LUNG
NCIH1573	LUNG
NCIH1648	LUNG
NCIH1650	LUNG
NCIH1651	LUNG
NCIH1666	LUNG
NCIH1693	LUNG
NCIH1694	LUNG
NCIH1703	LUNG
NCIH1792	LUNG
NCIH1793	LUNG
NCIH1869	LUNG
NCIH1915	LUNG
NCIH1944	LUNG
NCIH1975	LUNG
NCIH2023	LUNG
NCIH2030	LUNG
NCIH2087	LUNG
NCIH211	LUNG
NCIH2170	LUNG
NCIH2172	LUNG
NCIH2228	LUNG
NCIH2286	LUNG
NCIH23	LUNG
NCIH2444	LUNG
NCIH3255	LUNG
NCIH358	LUNG
NCIH441	LUNG
NCIH520	LUNG
NCIH522	LUNG
NCIH647	LUNG
NCIH650	LUNG
NCIH661	LUNG
NCIH727	LUNG
NCIH747	LARGE-INTESTINE
NCIH810	LUNG
PC14	LUNG
PK45H	PANCREAS
PK59	PANCREAS
RERFLCAI	LUNG
RERFLCMS	LUNG
RPMI7951	SKIN
SBC5	LUNG
SHP77	LUNG
SKBR3	BREAST
SKCO1	LARGE-INTESTINE
SKLU1	LUNG
SKMEL24	SKIN
SKMEL30	SKIN
SKMES1	LUNG
SNUC2A	LARGE-INTESTINE
SU8686	PANCREAS
SW1271	LUNG
SW1417	LARGE-INTESTINE
SW1573	LUNG
SW1990	PANCREAS
SW403	LARGE-INTESTINE
SW480	LARGE-INTESTINE
SW900	LUNG
T3M10	LUNG
T84	LARGE-INTESTINE
UACC257	SKIN
UACC62	SKIN
UACC812	BREAST
WM115	SKIN
WM1799	SKIN
WM2664	SKIN
WM793	SKIN
WM88	SKIN
WM983B	SKIN
ZR751	BREAST
ZR7530	BREAST
